Nome do Cliente;Indústria;Valor Estimado;Valor de Fechamento;Oportunidade Criada Em;Data de Fechamento;Nome da Oportunidade;Categoria;Produto;Fase da Oportunidade;Status da Oportunidade;Estado;CSM
Tecnologia 4 All;Manufatura; R$ 10.000,00 ; R$ 10.000,00 ;16/08/17;17/08/17;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;Santa Catarina;Vincent Vega
Tecnologia 4 All;Manufatura; R$ 14.000,00 ; R$ 14.000,00 ;05/01/18;05/01/18;Desenvolvimento de flows;Consultoria;Power Automate;2 - Oportunidade;Ganha;Santa Catarina;Mia Wallace
Tecnologia 4 All;Manufatura; R$ 14.000,00 ; R$ 14.000,00 ;22/02/17;06/03/17;Contratação pontual de suporte;Serviços;Microsoft SharePoint Online;3 - Entendimento de necessidades;Ganha;Santa Catarina;Vincent Vega
Tecnologia 4 All;Manufatura; R$ 93.641,00 ; R$ 93.641,00 ;03/06/15;28/03/16;Implantação PPM;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Santa Catarina;Django Freeman
Advanced Systems;Serviços Profissionais; R$ 17.300,00 ; R$ 17.300,00 ;19/08/14;20/08/14;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;Não classificada;Ganha;Rio Grande do Sul;Marty McFly
Avanced Systems Ltda;Manufatura; R$ 108.190,01 ; R$ 108.190,01 ;10/07/19;11/12/19;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;7 - Encerramento;Ganha;Amazonas;Marty McFly
Adventist Health;Saúde; R$ 2.000,00 ; R$ 2.000,00 ;26/02/15;25/02/15;Treinamento autores de relatório;Treinamento;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;Minas Gerais;Marty McFly
Adventist Health;Saúde; R$ 15.000,00 ; R$ 15.000,00 ;24/09/14;20/10/14;Desenvolvimento de workflows;Consultoria;Microsoft Project Online;2 - Oportunidade;Ganha;Minas Gerais;Marty McFly
Adventist Health;Saúde; R$ 28.000,00 ; R$ -   ;16/01/15;20/11/15;Desenvolvimento de workflows;Consultoria;Microsoft Project Online;1 - Lead;Perdida;Minas Gerais;Jack Sparrow
AECOM;Serviços Profissionais; R$ 290,00 ; R$ 290,00 ;06/09/18;06/09/18;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;São Paulo;Moana Waialiki
AECOM;Serviços Profissionais; R$ 8.161,21 ; R$ 8.161,21 ;22/08/17;24/04/18;Treinamento autores de relatório;Treinamento;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;São Paulo;Rose Calvert
AECOM;Serviços Profissionais; R$ 16.332,42 ; R$ 16.332,42 ;12/06/18;12/06/18;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;São Paulo;Rose Calvert
Avanced Systems Ltda;Manufatura; R$ 2.000,00 ; R$ -   ;28/07/14;02/06/15;Implantação PPM;Consultoria;Microsoft Project Online;1 - Lead;Perdida;Santa Catarina;Rose Calvert
Avanced Systems Ltda;Manufatura; R$ 6.000,00 ; R$ 6.000,00 ;26/06/14;01/07/14;Desenvolvimento de workflows;Consultoria;Microsoft Project Online;2 - Oportunidade;Ganha;Santa Catarina;Marty McFly
Aerotek;Serviços Profissionais; R$ 1.000,00 ; R$ 1.000,00 ;28/06/16;28/01/17;Desenvolvimento de flows;Consultoria;Power Automate;1 - Lead;Perdida;Santa Catarina;Rose Calvert
AeroVironment AS;Manufatura; R$ 10.000,00 ; R$ -   ;16/04/14;25/02/15;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;1 - Lead;Perdida;São Paulo;Jack Sparrow
Ágil LTDA;Manufatura; R$ 6.000,00 ; R$ 6.000,00 ;14/07/16;07/03/17;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;Não classificada;Perdida;São Paulo;Marty McFly
Ágil LTDA;Manufatura; R$ 13.600,00 ; R$ 13.600,00 ;05/03/15;09/04/15;Implantação PPM;Consultoria;Microsoft Project Online;Não classificada;Ganha;São Paulo;Jack Sparrow
Ágil LTDA;Manufatura; R$ 16.000,00 ; R$ 16.000,00 ;25/09/15;24/09/15;Desenvolvimento de flows;Consultoria;Power Automate;3 - Entendimento de necessidades;Ganha;São Paulo;Django Freeman
Agora Consulting Partners, Inc.;Serviços Profissionais; R$ 5.800,00 ; R$ 5.800,00 ;24/12/13;23/12/13;Implantação PPM;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Amazonas;Marty McFly
Ajinomoto Foods North America;Vendas & Departamento; R$ 55.000,00 ; R$ -   ;12/07/17;18/04/19;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;Não classificada;Perdida;São Paulo;Moana Waialiki
Alameda Health System;Saúde; R$ -   ; R$ -   ;27/01/17;07/02/18;Desenvolvimento de flows;Consultoria;Power Automate;2 - Oportunidade;Perdida;São Paulo;Marty McFly
Alameda Health System;Saúde; R$ 37.000,00 ; R$ 37.000,00 ;13/01/16;08/06/16;Treinamento autores de relatório;Treinamento;Microsoft Power BI;Não classificada;Perdida;São Paulo;Rose Calvert
Alberta Newsprint Company;Mídia & Conteúdo; R$ 10.000,00 ; R$ -   ;28/01/16;07/07/17;Treinamento autores de relatório;Treinamento;Microsoft Power BI;Não classificada;Perdida;São Paulo;Mia Wallace
Alberta Newsprint Company;Mídia & Conteúdo; R$ 45.000,00 ; R$ -   ;28/01/16;07/07/17;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;Não classificada;Perdida;São Paulo;Marty McFly
Ágil LTDA;Manufatura; R$ 55.000,00 ; R$ -   ;27/09/19;21/07/20;Desenvolvimento de flows;Consultoria;Power Automate;5 - Levantamento de escopo;Perdida;Minas Gerais;Marty McFly
Ágil LTDA;Manufatura; R$ 8.000,00 ; R$ 8.000,00 ;01/12/15;23/12/15;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;São Paulo;Django Freeman
Ágil LTDA;Manufatura; R$ 54.000,00 ; R$ 54.000,00 ;31/07/15;09/09/15;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;3 - Entendimento de necessidades;Ganha;São Paulo;Mia Wallace
Ambry Genetics;Saúde; R$ 161,99 ; R$ 161,99 ;10/05/19;12/06/19;Desenvolvimento de flows;Consultoria;Power Automate;3 - Entendimento de necessidades;Ganha;São Paulo;Mia Wallace
Ambry Genetics;Saúde; R$ 10.000,00 ; R$ -   ;19/05/20;09/07/20;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;3 - Entendimento de necessidades;Perdida;São Paulo;Mia Wallace
American Specialty Health (ASH);Saúde; R$ 1.599,00 ; R$ 1.599,00 ;20/09/17;20/09/17;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;São Paulo;Rose Calvert
American Specialty Health (ASH);Saúde; R$ 2.000,00 ; R$ 2.000,00 ;05/03/20;20/03/20;Implantação PPM;Consultoria;Microsoft Project Server;6 - Proposta enviada;Ganha;São Paulo;Moana Waialiki
American Specialty Health (ASH);Saúde; R$ 20.000,00 ; R$ 20.000,00 ;13/06/19;18/10/19;Contratação pontual de suporte;Serviços;Microsoft Project Online;7 - Encerramento;Ganha;São Paulo;Jack Sparrow
American Specialty Health (ASH);Saúde; R$ 20.000,00 ; R$ 20.000,00 ;12/07/18;02/10/18;Treinamento autores de relatório;Treinamento;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;São Paulo;Jack Sparrow
American Specialty Health (ASH);Saúde; R$ 25.000,00 ; R$ 25.000,00 ;27/07/20;28/09/20;Implantação PPM;Consultoria;Microsoft Project Online;2 - Oportunidade;Ganha;São Paulo;Mia Wallace
American Specialty Health (ASH);Saúde; R$ 32.560,00 ; R$ 32.560,00 ;26/10/18;01/03/19;Desenvolvimento de flows;Consultoria;Power Automate;7 - Encerramento;Ganha;São Paulo;Marty McFly
American Specialty Health (ASH);Saúde; R$ 67.000,00 ; R$ 67.000,00 ;08/12/16;11/09/17;Treinamento para Administradores;Treinamento;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;São Paulo;Rose Calvert
American Specialty Health (ASH);Saúde; R$ 74.599,00 ; R$ 74.599,00 ;10/08/17;20/03/18;Treinamento para Administradores;Treinamento;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;São Paulo;Jack Sparrow
American Traffic Solutions (ATS);Serviços Profissionais; R$ 10.000,00 ; R$ 10.000,00 ;18/05/15;26/05/15;Desenvolvimento de flows;Consultoria;Power Automate;Não classificada;Ganha;Santa Catarina;Mia Wallace
AMERISOURCE CORP;Saúde; R$ 3.375,00 ; R$ -   ;20/07/16;03/08/17;Treinamento para Administradores;Treinamento;Microsoft Project Online;Não classificada;Perdida;Espírito Santo;Jack Sparrow
Andrews Federal Credit Union;Outros; R$ -   ; R$ -   ;21/02/20;15/09/20;Desenvolvimento de flows;Consultoria;Power Automate;3 - Entendimento de necessidades;Perdida;Rio de Janeiro;Marty McFly
APEX Systems, Inc.;Serviços Profissionais; R$ 145,00 ; R$ 145,00 ;27/03/19;27/03/19;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;7 - Encerramento;Ganha;Mato Grosso do Sul;Mia Wallace
ApexTech;Outros; R$ 4.000,00 ; R$ -   ;30/01/17;15/06/17;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;1 - Lead;Perdida;Mato Grosso do Sul;Moana Waialiki
Application Consulting Training Solutions, Inc. (ACTS);Serviços Profissionais; R$ 2.000,00 ; R$ 2.000,00 ;13/10/16;27/10/16;Implantação PPM;Consultoria;Microsoft Project Server;3 - Entendimento de necessidades;Ganha;Minas Gerais;Marty McFly
Application Consulting Training Solutions, Inc. (ACTS);Serviços Profissionais; R$ 2.000,00 ; R$ -   ;25/01/16;07/03/16;Pacote de relatórios Excel;Produtos;Microsoft Excel;1 - Lead;Perdida;Minas Gerais;Django Freeman
Arbonne International;Vendas & Departamento; R$ -   ; R$ -   ;03/05/19;23/09/19;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;3 - Entendimento de necessidades;Perdida;São Paulo;Mia Wallace
ARES Corporation;Outros; R$ 32.000,00 ; R$ -   ;04/06/14;25/06/14;Treinamento autores de relatório;Treinamento;Microsoft Power BI;Não classificada;Perdida;Maranhão;Marty McFly
Arrow Eletrônica;Manufatura; R$ 55.000,00 ; R$ -   ;11/12/19;04/02/20;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;3 - Entendimento de necessidades;Perdida;Santa Catarina;Mia Wallace
Asas BR;Seguros; R$ 4.750,00 ; R$ 4.750,00 ;03/06/14;21/12/14;Contratação pontual de suporte;Serviços;Microsoft Project Server;1 - Lead;Ganha;Minas Gerais;Marty McFly
Asas BR;Seguros; R$ 7.500,00 ; R$ 7.500,00 ;23/03/15;23/03/15;Treinamento autores de relatório;Treinamento;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;Minas Gerais;Mia Wallace
Asas BR;Seguros; R$ 10.000,00 ; R$ -   ;20/06/14;04/11/15;Pacote de relatórios Excel;Produtos;Microsoft Excel;1 - Lead;Perdida;Minas Gerais;Marty McFly
Asas BR;Seguros; R$ 29.250,00 ; R$ 29.250,00 ;29/10/13;13/02/14;Migração PPM (PS 2010 - POL);Consultoria;Microsoft Project Online;2 - Oportunidade;Ganha;Minas Gerais;Marty McFly
ASCENSION HEALTH ISD;Saúde; R$ 4.000,00 ; R$ -   ;30/03/18;20/04/18;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;1 - Lead;Perdida;Goiás;Marty McFly
ASCENSION HEALTH ISD;Saúde; R$ 10.000,00 ; R$ 10.000,00 ;27/02/20;23/03/20;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;7 - Encerramento;Ganha;Goiás;Mia Wallace
ASCENSION HEALTH ISD;Saúde; R$ 10.000,00 ; R$ 10.000,00 ;15/03/19;23/05/19;Contratação pontual de suporte;Serviços;Microsoft SharePoint Online;7 - Encerramento;Ganha;Goiás;Mia Wallace
ASCENSION HEALTH ISD;Saúde; R$ 10.000,00 ; R$ 10.000,00 ;17/05/18;14/06/18;Implantação PPM;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Goiás;Moana Waialiki
ASCENSION HEALTH ISD;Saúde; R$ 49.939,00 ; R$ 49.939,00 ;22/06/16;22/05/17;Treinamento autores de relatório;Treinamento;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;Goiás;Marty McFly
ASRC Brasil;Governo; R$ 145,00 ; R$ 145,00 ;20/03/18;20/03/18;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;Acre;Rose Calvert
Associação dos Enfermeiros do Brasil;ONG; R$ 10.800,00 ; R$ 10.800,00 ;15/03/16;09/05/16;Desenvolvimento de flows;Consultoria;Power Automate;3 - Entendimento de necessidades;Ganha;Goiás;Mia Wallace
Associação dos Enfermeiros do Brasil;ONG; R$ 58.999,99 ; R$ 58.999,99 ;23/03/16;17/06/16;Implantação PPM;Consultoria;Microsoft Project Server;Não classificada;Perdida;Minas Gerais;Vincent Vega
Associação dos Escoteiros Mirins;ONG; R$ 495,00 ; R$ 495,00 ;18/01/19;24/01/19;Desenvolvimento de relatórios;Consultoria;Microsoft Project Server;3 - Entendimento de necessidades;Ganha;São Paulo;Moana Waialiki
Associação dos Escoteiros Mirins;ONG; R$ 540,00 ; R$ -   ;21/04/17;31/01/18;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;2 - Oportunidade;Perdida;São Paulo;Mia Wallace
Associação dos Escoteiros Mirins;ONG; R$ 2.444,00 ; R$ 2.444,00 ;28/05/19;22/05/19;Desenvolvimento de workflows;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;São Paulo;Mia Wallace
Associação dos Escoteiros Mirins;ONG; R$ 12.695,21 ; R$ 12.695,21 ;03/03/16;19/01/18;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;São Paulo;Jack Sparrow
Associação dos Escoteiros Mirins;ONG; R$ 15.000,00 ; R$ 15.000,00 ;12/05/16;27/05/16;Desenvolvimento de flows;Consultoria;Power Automate;3 - Entendimento de necessidades;Ganha;São Paulo;Mia Wallace
Associação dos Escoteiros Mirins;ONG; R$ 35.757,38 ; R$ 35.757,38 ;03/03/16;30/10/16;Contratação pontual de suporte;Serviços;Microsoft Project Online;2 - Oportunidade;Ganha;São Paulo;Marty McFly
Associação dos Escoteiros Mirins;ONG; R$ 44.499,00 ; R$ -   ;02/03/18;16/12/19;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;4 - Demonstração realizada;Perdida;São Paulo;Vincent Vega
Associação Liberdade Financeira;Bancos & Mercado de Capitais; R$ -   ; R$ -   ;22/08/16;28/01/17;Desenvolvimento de workflows;Consultoria;Microsoft Project Online;Não classificada;Perdida;Santa Catarina;Vincent Vega
ATPCO;Manufatura; R$ 2.199,00 ; R$ 2.199,00 ;20/04/17;27/04/17;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Mato Grosso do Sul;Mia Wallace
ATS;Vendas & Departamento; R$ -   ; R$ -   ;16/12/19;26/02/20;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;4 - Demonstração realizada;Perdida;Paraná;Marty McFly
ATS;Vendas & Departamento; R$ -   ; R$ -   ;06/09/19;16/12/19;Pacote de relatórios Excel;Produtos;Microsoft Excel;4 - Demonstração realizada;Perdida;Paraná;Django Freeman
ATS;Vendas & Departamento; R$ 2.000,00 ; R$ -   ;27/09/15;26/12/17;Contratação pontual de suporte;Serviços;Microsoft SharePoint Online;1 - Lead;Perdida;Paraná;Jack Sparrow
ATS;Vendas & Departamento; R$ 5.553,00 ; R$ 5.553,00 ;22/01/16;04/04/16;Implantação PPM;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Paraná;Mia Wallace
ATS;Vendas & Departamento; R$ 13.797,00 ; R$ 13.797,00 ;07/06/16;22/06/16;Desenvolvimento de flows;Consultoria;Power Automate;3 - Entendimento de necessidades;Ganha;Paraná;Django Freeman
ATS;Vendas & Departamento; R$ 15.000,00 ; R$ 15.000,00 ;10/07/17;28/12/17;Desenvolvimento de workflows;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Paraná;Marty McFly
ATS;Vendas & Departamento; R$ 30.000,00 ; R$ -   ;28/02/20;28/09/20;Pacote de relatórios Excel;Produtos;Microsoft Excel;3 - Entendimento de necessidades;Perdida;Paraná;Mia Wallace
ATS;Vendas & Departamento; R$ 49.045,50 ; R$ 49.045,50 ;09/12/14;17/12/14;Desenvolvimento de workflows;Consultoria;Microsoft Project Online;2 - Oportunidade;Ganha;Paraná;Mia Wallace
Autoliv;Manufatura; R$ 24.000,00 ; R$ -   ;30/09/15;20/11/15;Contratação pontual de suporte;Serviços;Microsoft Project Online;Não classificada;Perdida;Mato Grosso;Marty McFly
Sistemas Inteligentes;Manufatura; R$ 5.390,00 ; R$ 5.390,00 ;04/12/19;04/12/19;Desenvolvimento de flows;Consultoria;Power Automate;7 - Encerramento;Ganha;Santa Catarina;Vincent Vega
Sistemas Inteligentes;Manufatura; R$ 7.000,00 ; R$ 7.000,00 ;04/08/15;05/11/15;Desenvolvimento de flows;Consultoria;Power Automate;3 - Entendimento de necessidades;Ganha;Santa Catarina;Moana Waialiki
Sistemas Inteligentes;Manufatura; R$ 10.000,00 ; R$ -   ;04/10/19;31/10/19;Pacote de relatórios Excel;Produtos;Microsoft Excel;6 - Proposta enviada;Perdida;Santa Catarina;Vincent Vega
Sistemas Inteligentes;Manufatura; R$ 10.000,00 ; R$ 10.000,00 ;03/09/15;02/09/15;Contratação pontual de suporte;Serviços;Microsoft SharePoint Online;3 - Entendimento de necessidades;Ganha;Santa Catarina;Jack Sparrow
Sistemas Inteligentes;Manufatura; R$ 20.800,00 ; R$ -   ;21/12/15;26/04/17;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;Não classificada;Perdida;Santa Catarina;Marty McFly
Sistemas Inteligentes;Manufatura; R$ 20.980,00 ; R$ -   ;30/06/20;31/08/20;Desenvolvimento de workflows;Consultoria;Microsoft SharePoint Online;6 - Proposta enviada;Perdida;Santa Catarina;Marty McFly
Sistemas Inteligentes;Manufatura; R$ 37.011,00 ; R$ 37.011,00 ;21/12/15;03/06/16;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;Não classificada;Perdida;Santa Catarina;Vincent Vega
Sistemas Inteligentes;Manufatura; R$ 117.000,00 ; R$ -   ;27/08/12;13/02/13;Treinamento para Administradores;Treinamento;Microsoft Project Online;1 - Lead;Perdida;Santa Catarina;Marty McFly
Sistemas Inteligentes;Manufatura; R$ 163.000,00 ; R$ -   ;18/10/19;31/10/19;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;4 - Demonstração realizada;Perdida;Santa Catarina;Moana Waialiki
Azbil Brasil Ltda;Manufatura; R$ 8.000,00 ; R$ -   ;04/08/14;18/08/14;Contratação pontual de suporte;Serviços;Microsoft SharePoint Online;1 - Lead;Perdida;Santa Catarina;Marty McFly
Conselho Municipal;Governo; R$ 760,00 ; R$ 760,00 ;26/10/17;01/12/17;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;Santa Catarina;Marty McFly
Conselho Municipal;Governo; R$ 2.970,00 ; R$ 2.970,00 ;30/08/16;15/09/16;Desenvolvimento de workflows;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Santa Catarina;Marty McFly
Conselho Municipal;Governo; R$ 4.398,00 ; R$ 4.398,00 ;11/07/17;26/07/17;Treinamento para Gerentes de Projeto;Treinamento;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Santa Catarina;Mia Wallace
Conselho Municipal;Governo; R$ 4.500,00 ; R$ 4.500,00 ;15/07/16;28/09/16;Treinamento para Administradores;Treinamento;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Santa Catarina;Moana Waialiki
Conselho Municipal;Governo; R$ 10.450,00 ; R$ 10.450,00 ;02/02/17;20/04/17;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;3 - Entendimento de necessidades;Ganha;Santa Catarina;Marty McFly
Conselho Municipal;Governo; R$ 12.500,00 ; R$ 12.500,00 ;17/05/17;16/06/17;Desenvolvimento de flows;Consultoria;Power Automate;3 - Entendimento de necessidades;Ganha;Santa Catarina;Mia Wallace
B2B Technologies;Serviços Profissionais; R$ 2.000,00 ; R$ 2.000,00 ;20/07/16;05/01/17;Implantação PPM;Consultoria;Microsoft Project Online;1 - Lead;Perdida;Minas Gerais;Marty McFly
Bally Tecnologia;Manufatura; R$ 37.000,00 ; R$ -   ;14/01/14;04/02/16;Implantação PPM;Consultoria;Microsoft Project Online;Não classificada;Perdida;Bahia;Marty McFly
Banco de Investimentos Global;Bancos & Mercado de Capitais; R$ 23.000,00 ; R$ -   ;18/10/17;13/12/17;Treinamento autores de relatório;Treinamento;Microsoft Power BI;1 - Lead;Perdida;Rio de Janeiro;Mia Wallace
Banco de Investimentos Global;Bancos & Mercado de Capitais; R$ 40.000,00 ; R$ -   ;14/09/18;14/11/18;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;Não classificada;Perdida;Minas Gerais;Marty McFly
